"County","Year","Race","EDvisits"
"lake",2017,"White",78.9
"lassen",2017,"White",55.6
"los angeles",2017,"White",29.7
"madera",2017,"White",51.6
"marin",2017,"White",18.4
"mariposa",2017,"White",46.4
"mendocino",2017,"White",82.5
"merced",2017,"White",75
"modoc",2017,"White",73
"mono",2017,"White",24.7
"monterey",2017,"White",38.1
"napa",2017,"White",45.7
"nevada",2017,"White",41.6
"orange",2017,"White",28.9
"placer",2017,"White",34.9
"plumas",2017,"White",63.3
"riverside",2017,"White",41.1
"sacramento",2017,"White",47.1
"san benito",2017,"White",56.5
"san bernardino",2017,"White",45.9
"san diego",2017,"White",21.7
"san francisco",2017,"White",24.8
"san joaquin",2017,"White",54.9
"san luis obispo",2017,"White",30.9
"san mateo",2017,"White",23.3
"santa barbara",2017,"White",31
"santa clara",2017,"White",23.7
"santa cruz",2017,"White",27.3
"shasta",2017,"White",46.8
"sierra",2017,"White",NA
"siskiyou",2017,"White",43.7
"solano",2017,"White",71.4
"sonoma",2017,"White",39
"stanislaus",2017,"White",58.1
"sutter",2017,"White",29.6
"tehama",2017,"White",57.7
"trinity",2017,"White",48.9
"tulare",2017,"White",31.3
"tuolumne",2017,"White",62.7
"ventura",2017,"White",35.9
"yolo",2017,"White",40.5
"yuba",2017,"White",51.5
"alameda",2017,"Black",202.8
"alpine",2017,"Black",0
"amador",2017,"Black",NA
"butte",2017,"Black",192.3
"calaveras",2017,"Black",NA
"colusa",2017,"Black",NA
"contra costa",2017,"Black",216.3
"del norte",2017,"Black",NA
"el dorado",2017,"Black",206.5
"fresno",2017,"Black",156.3
"glenn",2017,"Black",NA
"humboldt",2017,"Black",370.4
"imperial",2017,"Black",145.4
"inyo",2017,"Black",0
"kern",2017,"Black",184.5
"kings",2017,"Black",208.6
"lake",2017,"Black",381.2
"lassen",2017,"Black",NA
"los angeles",2017,"Black",162.3
"madera",2017,"Black",199
"marin",2017,"Black",113.1
"mariposa",2017,"Black",NA
"mendocino",2017,"Black",328.6
"merced",2017,"Black",252.9
"modoc",2017,"Black",0
"mono",2017,"Black",NA
"monterey",2017,"Black",111.8
"napa",2017,"Black",115.6
"nevada",2017,"Black",NA
"orange",2017,"Black",124.7
"placer",2017,"Black",150.9
"plumas",2017,"Black",NA
"riverside",2017,"Black",141
"sacramento",2017,"Black",221.4
"san benito",2017,"Black",NA
"san bernardino",2017,"Black",135.6
"san diego",2017,"Black",113.7
"san francisco",2017,"Black",257.8
"san joaquin",2017,"Black",225
"san luis obispo",2017,"Black",106.1
"san mateo",2017,"Black",82.6
"santa barbara",2017,"Black",118.1
"santa clara",2017,"Black",112.8
"santa cruz",2017,"Black",66.2
"shasta",2017,"Black",192.8
"sierra",2017,"Black",0
"siskiyou",2017,"Black",NA
"solano",2017,"Black",242.8
"sonoma",2017,"Black",164.7
"stanislaus",2017,"Black",216.1
"sutter",2017,"Black",263
"tehama",2017,"Black",NA
"trinity",2017,"Black",NA
"tulare",2017,"Black",109.4
"tuolumne",2017,"Black",NA
"ventura",2017,"Black",101.4
"yolo",2017,"Black",180.3
"yuba",2017,"Black",206.8
"alameda",2017,"Hispanic",53
"alpine",2017,"Hispanic",0
"amador",2017,"Hispanic",58.7
"butte",2017,"Hispanic",34.8
"calaveras",2017,"Hispanic",NA
"colusa",2017,"Hispanic",25.9
"contra costa",2017,"Hispanic",66.9
"del norte",2017,"Hispanic",29.6
"el dorado",2017,"Hispanic",37.9
"fresno",2017,"Hispanic",80.5
"glenn",2017,"Hispanic",34.2
"humboldt",2017,"Hispanic",47.3
"imperial",2017,"Hispanic",66
"inyo",2017,"Hispanic",57.7
"kern",2017,"Hispanic",45.6
"kings",2017,"Hispanic",60.9
"lake",2017,"Hispanic",72.1
"lassen",2017,"Hispanic",35.8
"los angeles",2017,"Hispanic",48.5
"madera",2017,"Hispanic",65.7
"marin",2017,"Hispanic",31.2
"mariposa",2017,"Hispanic",NA
"mendocino",2017,"Hispanic",52.1
"merced",2017,"Hispanic",72.5
"modoc",2017,"Hispanic",NA
"mono",2017,"Hispanic",34.8
"monterey",2017,"Hispanic",43.5
"napa",2017,"Hispanic",38.8
"nevada",2017,"Hispanic",31.9
"orange",2017,"Hispanic",32.4
"placer",2017,"Hispanic",29.5
"plumas",2017,"Hispanic",NA
"riverside",2017,"Hispanic",36.5
"sacramento",2017,"Hispanic",61.6
"san benito",2017,"Hispanic",67.4
"san bernardino",2017,"Hispanic",42
"san diego",2017,"Hispanic",32.8
"san francisco",2017,"Hispanic",56.1
"san joaquin",2017,"Hispanic",52.5
"san luis obispo",2017,"Hispanic",28.9
"san mateo",2017,"Hispanic",47.3
"santa barbara",2017,"Hispanic",32.8
"santa clara",2017,"Hispanic",45.4
"santa cruz",2017,"Hispanic",32.4
"shasta",2017,"Hispanic",25.6
"sierra",2017,"Hispanic",NA
"siskiyou",2017,"Hispanic",21
"solano",2017,"Hispanic",67.3
"sonoma",2017,"Hispanic",42.2
"stanislaus",2017,"Hispanic",51.1
"sutter",2017,"Hispanic",27.6
"tehama",2017,"Hispanic",58.6
"trinity",2017,"Hispanic",NA
"tulare",2017,"Hispanic",29.8
"tuolumne",2017,"Hispanic",30.7
"ventura",2017,"Hispanic",34.8
"yolo",2017,"Hispanic",45.2
"yuba",2017,"Hispanic",38.9
"alameda",2017,"Asian/PI",25.2
"alpine",2017,"Asian/PI",0
"amador",2017,"Asian/PI",NA
"butte",2017,"Asian/PI",25.4
"calaveras",2017,"Asian/PI",NA
"colusa",2017,"Asian/PI",0
"contra costa",2017,"Asian/PI",34
"del norte",2017,"Asian/PI",NA
"el dorado",2017,"Asian/PI",34.1
"fresno",2017,"Asian/PI",21.5
"glenn",2017,"Asian/PI",NA
"humboldt",2017,"Asian/PI",38.5
"imperial",2017,"Asian/PI",NA
"inyo",2017,"Asian/PI",0
"kern",2017,"Asian/PI",28.3
"kings",2017,"Asian/PI",NA
"lake",2017,"Asian/PI",NA
"lassen",2017,"Asian/PI",NA
"los angeles",2017,"Asian/PI",18.6
"madera",2017,"Asian/PI",NA
"marin",2017,"Asian/PI",12.2
"mariposa",2017,"Asian/PI",NA
"mendocino",2017,"Asian/PI",NA
"merced",2017,"Asian/PI",29.6
"modoc",2017,"Asian/PI",NA
"mono",2017,"Asian/PI",NA
"monterey",2017,"Asian/PI",30.8
"napa",2017,"Asian/PI",36
"nevada",2017,"Asian/PI",NA
"orange",2017,"Asian/PI",13.7
"placer",2017,"Asian/PI",25.6
"plumas",2017,"Asian/PI",0
"riverside",2017,"Asian/PI",18
"sacramento",2017,"Asian/PI",41.4
"san benito",2017,"Asian/PI",NA
"san bernardino",2017,"Asian/PI",17.3
"san diego",2017,"Asian/PI",21.2
"san francisco",2017,"Asian/PI",20.6
"san joaquin",2017,"Asian/PI",38
"san luis obispo",2017,"Asian/PI",NA
"san mateo",2017,"Asian/PI",24.2
"santa barbara",2017,"Asian/PI",16.5
"santa clara",2017,"Asian/PI",14.7
"santa cruz",2017,"Asian/PI",14.4
