"site","ozone","month","year","lat","lon"
2589,0.0288890756302521,3,2015,32.63123,-117.05905
2593,0.0324258970358814,3,2015,34.60582,-120.07507
2596,0.0295969453376206,3,2015,33.99952,-117.41595
2622,0.0241193650793651,3,2015,37.9723,-122.52011
2628,0.0292678571428571,3,2015,36.843425,-121.3621
2650,0.040275487012987,3,2015,34.4165,-117.28559
2655,0.0228813771517997,3,2015,38.31139,-122.2942
2731,0.02455625,3,2015,38.61374,-121.36801
2744,0.0276782608695652,3,2015,39.18919,-121.99887
2752,0.0248197492163009,3,2015,41.72679,-122.63359
2772,0.0327878693623639,3,2015,35.438035,-119.016787
2804,0.028383038869258,3,2015,38.0063,-121.64191
2829,0.0250220183486239,3,2015,40.55013,-122.38092
2830,0.0449935064935065,3,2015,34.42505,-117.58982
2831,0.0279076923076923,3,2015,37.936,-122.0262
2833,0.0287127329192547,3,2015,37.642165,-120.994212
2844,0.0324083601286174,3,2015,36.84157,-119.87449
2849,0.03895264,3,2015,34.14437,-117.85038
2880,0.0343234375,3,2015,34.276316,-118.683685
2898,0.0279799352750809,3,2015,34.06698,-117.75138
2899,0.0320635350318471,3,2015,34.06653,-118.22676
2914,0.032905808477237,3,2015,39.033054,-122.921944
2919,0.0450141065830721,3,2015,35.05156,-119.40263
2923,0.0290753246753247,3,2015,34.89405,-117.02471
2937,0.0359327022375215,3,2015,33.67458,-117.9256
2943,0.0337851916376307,3,2015,33.67653,-117.33104
2954,0.0340472440944882,3,2015,34.52745,-120.19666
2955,0.0295159126365055,3,2015,35.614668,-120.656912
2956,0.0270533333333333,3,2015,38.74643,-121.26498
2957,0.0331281337047354,3,2015,34.5417,-119.79152
2958,0.0255205651491366,3,2015,39.13868,-121.61884
2968,0.02811859375,3,2015,37.98178,-120.378551
2972,0.0388117469879518,3,2015,40.53996,-121.57646
2977,0.0233800623052959,3,2015,38.30256,-121.42083
2981,0.027635046728972,3,2015,35.50349,-119.27264
2983,0.031288490284006,3,2015,36.48329,-121.15682
2984,0.0348256333830104,3,2015,34.210169,-118.870509
2991,0.0294071762870515,3,2015,34.25239,-119.143182
2992,0.0402551834130781,3,2015,34.725342,-120.428716
2993,0.0236712732919255,3,2015,38.342606,-120.764426
2996,0.0268003194888179,3,2015,37.48822,-120.83592
3003,0.0365284810126582,3,2015,34.403052,-119.457914
3010,0.0220031104199067,3,2015,39.14566,-123.20298
3011,0.0230029548989114,3,2015,38.56844,-121.49311
3017,0.0383678571428571,3,2015,38.725282,-120.821916
3018,0.0409265367316342,3,2015,37.713136,-119.706235
3022,0.0280947368421053,3,2015,37.28177,-120.43368
3023,0.040503937007874,3,2015,34.59593,-120.63129
3026,0.0329683544303797,3,2015,36.819313,-119.716389
3032,0.0213985007496252,3,2015,40.45318,-122.29883
3033,0.0259128919860627,3,2015,38.654068,-122.901867
3101,0.046627868852459,3,2015,34.48976,-120.0469
3121,0.0406214849921011,3,2015,35.05045,-118.14778
3126,0.0453198184568835,3,2015,39.23352,-121.05567
3129,0.0318564356435644,3,2015,36.31572,-119.64323
3135,0.0317657320872274,3,2015,32.67618,-115.48307
3144,0.0265933021806854,3,2015,38.20185,-120.680277
3146,0.0294452119309262,3,2015,35.356615,-119.062613
3151,0.0443378176382661,3,2015,36.50881,-116.84767
3152,0.0497239819004525,3,2015,34.06959,-116.38893
3153,0.0289857819905213,3,2015,34.445505,-119.828452
3168,0.0375326666666667,3,2015,33.920767,-116.858413
3172,0.0292157738095238,3,2015,34.448057,-119.231299
3186,0.0288594090202177,3,2015,33.213488,-115.545136
3187,0.0329570552147239,3,2015,38.683293,-121.164442
3198,0.035745,3,2015,33.21701,-117.39616
3200,0.0238450074515648,3,2015,36.98332,-121.98822
3209,0.0307324840764331,3,2015,38.49444,-121.21115
3211,0.0322823129251701,3,2015,36.86719,-120.01011
3215,0.0364634146341463,3,2015,35.774455,-117.372102
3247,0.0206973186119874,3,2015,37.74306,-122.16994
3249,0.0276799698795181,3,2015,38.66121,-121.73269
3251,0.0343465189873418,3,2015,35.0315,-120.50101
3265,0.037266403785489,3,2015,33.63005,-117.67588
3484,0.0374063926940639,3,2015,36.48943,-118.829138
3486,0.0279036565977742,3,2015,34.942872,-120.435611
3489,0.0271681547619048,3,2015,36.694261,-121.623271
3490,0.0220313385826772,3,2015,37.6875,-121.7842
3491,0.0417765527950311,3,2015,39.708454,-121.617309
